Instance,Terminal,Layer,X location,Y location,Voltage
TAP_TAPCELL_ROW_16_93,VGND,li1,44.3900,54.6910,0.000013
TAP_TAPCELL_ROW_16_92,VGND,li1,18.6300,54.6910,0.000005
TAP_TAPCELL_ROW_15_91,VGND,li1,57.2700,54.1080,0.000016
TAP_TAPCELL_ROW_15_90,VGND,li1,31.5100,54.1080,0.000008
TAP_TAPCELL_ROW_14_89,VGND,li1,70.1500,49.2510,0.000030
TAP_TAPCELL_ROW_14_88,VGND,li1,44.3900,49.2510,0.000024
TAP_TAPCELL_ROW_14_87,VGND,li1,18.6300,49.2510,0.000011
TAP_TAPCELL_ROW_13_86,VGND,li1,57.2700,48.6680,0.000028
TAP_TAPCELL_ROW_13_85,VGND,li1,31.5100,48.6680,0.000014
TAP_TAPCELL_ROW_12_84,VGND,li1,70.1500,43.8110,0.000028
TAP_TAPCELL_ROW_12_83,VGND,li1,44.3900,43.8110,0.000022
TAP_TAPCELL_ROW_12_82,VGND,li1,18.6300,43.8110,0.000012
TAP_TAPCELL_ROW_11_81,VGND,li1,57.2700,43.2280,0.000026
TAP_TAPCELL_ROW_11_80,VGND,li1,31.5100,43.2280,0.000016
TAP_TAPCELL_ROW_10_79,VGND,li1,70.1500,38.3710,0.000021
TAP_TAPCELL_ROW_10_78,VGND,li1,44.3900,38.3710,0.000017
TAP_TAPCELL_ROW_10_77,VGND,li1,18.6300,38.3710,0.000012
TAP_TAPCELL_ROW_9_76,VGND,li1,57.2700,37.7880,0.000019
TAP_TAPCELL_ROW_9_75,VGND,li1,31.5100,37.7880,0.000013
TAP_TAPCELL_ROW_8_74,VGND,li1,70.1500,32.9310,0.000015
TAP_TAPCELL_ROW_8_73,VGND,li1,44.3900,32.9310,0.000012
TAP_TAPCELL_ROW_8_72,VGND,li1,18.6300,32.9310,0.000009
TAP_TAPCELL_ROW_7_71,VGND,li1,57.2700,32.3480,0.000013
TAP_TAPCELL_ROW_7_70,VGND,li1,31.5100,32.3480,0.000010
TAP_TAPCELL_ROW_6_69,VGND,li1,70.1500,27.4910,0.000043
TAP_TAPCELL_ROW_6_68,VGND,li1,44.3900,27.4910,0.000035
TAP_TAPCELL_ROW_6_67,VGND,li1,18.6300,27.4910,0.000031
TAP_TAPCELL_ROW_5_66,VGND,li1,57.2700,26.9080,0.000041
TAP_TAPCELL_ROW_5_65,VGND,li1,31.5100,26.9080,0.000026
TAP_TAPCELL_ROW_4_64,VGND,li1,70.1500,22.0510,0.000037
TAP_TAPCELL_ROW_4_63,VGND,li1,44.3900,22.0510,0.000034
TAP_TAPCELL_ROW_4_62,VGND,li1,18.6300,22.0510,0.000035
TAP_TAPCELL_ROW_3_61,VGND,li1,57.2700,21.4680,0.000036
TAP_TAPCELL_ROW_3_60,VGND,li1,31.5100,21.4680,0.000029
TAP_TAPCELL_ROW_2_59,VGND,li1,70.1500,16.6110,0.000054
TAP_TAPCELL_ROW_2_58,VGND,li1,44.3900,16.6110,0.000044
TAP_TAPCELL_ROW_2_57,VGND,li1,18.6300,16.6110,0.000029
TAP_TAPCELL_ROW_1_56,VGND,li1,57.2700,16.0280,0.000051
TAP_TAPCELL_ROW_1_55,VGND,li1,31.5100,16.0280,0.000037
TAP_TAPCELL_ROW_0_54,VGND,li1,70.1500,11.1710,0.000007
TAP_TAPCELL_ROW_0_53,VGND,li1,57.2700,11.1710,0.000006
TAP_TAPCELL_ROW_0_52,VGND,li1,44.3900,11.1710,0.000004
TAP_TAPCELL_ROW_0_51,VGND,li1,31.5100,11.1710,0.000002
TAP_TAPCELL_ROW_0_50,VGND,li1,18.6300,11.1710,0.000002
PHY_EDGE_ROW_24_Left_49,VGND,li1,6.2100,76.1600,0.000003
